"row_num","store","name","install_count","category","price","price-2","rating","review_count","rating-2","review_count-2"
405,"iPhone","( OFFTIME ) light – Track how much you use your phone & Digital Detox and unplug to focus",NULL,"Health & Fitness",2.99,NULL,2.0,"22",NULL,NULL
138,"Android","10 Best Foods for You","500,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.0,2490
152,"Android","10 Best Foods for You","500,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.0,2490
416,"iPhone","12 Minute Athlete HIIT Workouts",NULL,"Health & Fitness",2.99,NULL,4.5,"362",NULL,NULL
423,"iPhone","20/20 Diet For Your Life",NULL,"Health & Fitness",2.99,NULL,4.5,"5",NULL,NULL
82,"Android","21-Day Meditation Experience","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.4,11506
179,"Android","21-Day Meditation Experience","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.4,11506
474,"iPhone","21 Days Metabolic Diet",NULL,"Health & Fitness",2.99,NULL,0.0,"0",NULL,NULL
372,"iPhone","2Face Fitpack - Dein Trainingsprogramm mit persönlichem Ernährungsplan, Kalorienrechner und Trainingsplan",NULL,"Health & Fitness",0.00,NULL,0.0,"0",NULL,NULL
220,"Android","30-Day Ab Challenge Tracker","10,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,3.5,224
202,"Android","30 Day Ab Challenge","500,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.5,1886
215,"Android","30 Day AB Challenge - Lumowell","10,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,793
211,"Android","30 Day Ab Challenge FREE","1,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.3,48253
12,"Android","30 Day Fitness Challenge - Workout at Home","10,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,471036
214,"Android","5 Minute Ab Workouts","50,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,2067
352,"iPhone","5K Runner: 0 to 5K Run Trainer. Couch potato to 5K",NULL,"Health & Fitness",4.99,NULL,5.0,"10368",NULL,NULL
205,"Android","6 Pack Promise - Ultimate Abs","1,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,18921
182,"Android","7 Cups: Anxiety & Stress Chat","500,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.2,13799
213,"Android","7 minute abs workout - Daily Ab Workout","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,527
54,"Android","7 Minute Workout","10,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.5,399009
507,"iPhone","7 Minute Workout Challenge",NULL,"Health & Fitness",2.99,NULL,4.5,"4137",NULL,NULL
499,"iPhone","7 Minute Workout Challenge HD for iPad",NULL,"Health & Fitness",2.99,NULL,4.5,"258",NULL,NULL
476,"iPhone","7 Minute Workout Pro",NULL,"Health & Fitness",0.99,NULL,4.5,"303",NULL,NULL
381,"iPhone","8fit - Workouts, meal plans and personal trainer",NULL,"Health & Fitness",0.00,NULL,5.0,"8730",NULL,NULL
41,"Android","8fit Workouts & Meal Planner","10,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,115721
69,"Android","8fit Workouts & Meal Planner","10,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,115721
415,"iPhone","Ab & Core Sworkit - Free Workout Trainer",NULL,"Health & Fitness",0.00,NULL,5.0,"2901",NULL,NULL
207,"Android","AB Mobile App","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,3.4,2105
216,"Android","Ab Workouts","1,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.1,27501
217,"Android","Ab Workouts - Ab Generator","1,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.7,21
24,"Android","Abs Training-Burn belly fat","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.7,2071
218,"Android","Abs workout - 21 Day Fitness Challenge","1,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,18604
40,"Android","Abs Workout - 30 Days Fitness App for Six Pack Abs","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,299
212,"Android","ABS Workout - Belly workout, 30 days AB","100,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,5103
204,"Android","Abs Workout - Burn Belly Fat with No Equipment","10,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.8,69279
210,"Android","Abs workout 7 minutes","1,000,000+","HEALTH_AND_FITNESS",NULL,"0",NULL,NULL,4.6,37224
