play_name,play_price,app_price,app price,potential_profit
ASOS,$0.00 ,$0.00 ,$0.00 ,"$498,400.00 "
Domino's Pizza USA,$0.00 ,$0.00 ,$0.00 ,"$498,400.00 "
PewDiePie's Tuber Simulator,$0.00 ,$0.00 ,$0.00 ,"$498,400.00 "
"Egg, Inc.",$0.00 ,$0.00 ,$0.00 ,"$498,400.00 "
The Guardian,$0.00 ,$0.00 ,$0.00 ,"$498,400.00 "
Geometry Dash Lite,$0.00 ,$0.00 ,$0.00 ,"$488,800.00 "
Cytus,$0.00 ,$1.99 ,$1.99 ,"$488,500.00 "
Fernanfloo,$0.00 ,$0.00 ,$0.00 ,"$479,200.00 "
Bible,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Clash of Clans,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Clash Royale,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Hill Climb Racing 2,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Pinterest,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Score! Hero,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Shadow Fight 2,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Geometry Dash Meltdown,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
MARVEL Future Fight,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Township,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Toy Blast,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
War Robots,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Angry Birds Blast,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Chase Mobile,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Choices: Stories You Play,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Fallout Shelter,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Fishdom,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Geometry Dash World,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Hitman Sniper,$0.99 ,$0.99 ,$1.98 ,"$469,600.00 "
Zombie Catchers,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Animal Jam - Play Wild!,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
FINAL FANTASY BRAVE EXVIUS,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Narcos: Cartel Wars,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Fuel Rewards® program,$0.00 ,$0.00 ,$0.00 ,"$469,600.00 "
Instagram,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Subway Surfers,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
WhatsApp Messenger,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Candy Crush Saga,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Microsoft Word,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
My Talking Tom,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Angry Birds Rio,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Asphalt 8: Airborne,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Candy Crush Soda Saga,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Cooking Fever,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Farm Heroes Saga,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Hay Day,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Hill Climb Racing,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Hungry Shark Evolution,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Jetpack Joyride,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Microsoft Excel,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Microsoft OneNote,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
My Talking Angela,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
ROBLOX,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Smash Hit,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Sonic Dash,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Traffic Racer,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Trivia Crack,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Wish - Shopping Made Fun,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Zombie Tsunami,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Boom Beach,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Hungry Shark World,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Need for Speed™ No Limits,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Photo Editor by Aviary,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Red Ball 4,$0.00 ,$0.99 ,$0.99 ,"$460,000.00 "
Rolling Sky,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
SimCity BuildIt,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Swamp Attack,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Talking Tom Bubble Shooter,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
YouTube Kids,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Angry Birds Epic RPG,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Bad Piggies HD,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Bullet Force,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Call of Duty®: Heroes,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
ClassDojo,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Design Home,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Discord - Chat for Gamers,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Disney Crossy Road,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Dude Perfect 2,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
GroupMe,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Hot Wheels: Race Off,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Injustice: Gods Among Us,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Inside Out Thought Bubbles,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
MORTAL KOMBAT X,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
My Horse,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Nyan Cat: Lost In Space,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
PES CLUB MANAGER,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Plants vs. Zombies™ 2,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Plants vs. Zombies™ Heroes,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
Real Basketball,$0.00 ,$0.00 ,$0.00 ,"$460,000.00 "
