App Name,potential_profit,play_installations,total_reviews,avg_rating,App Genre
ASOS,"$1,146,400.00 ",10000000,191523,4.9,Shopping
Domino's Pizza USA,"$1,146,400.00 ",10000000,1291559,4.9,Food & Drink
PewDiePie's Tuber Simulator,"$1,146,400.00 ",10000000,1590317,4.9,Game
"Egg, Inc.","$1,146,400.00 ",5000000,659234,4.9,Game
The Guardian,"$1,146,400.00 ",5000000,256168,4.9,News
Cytus,"$1,136,500.00 ",5000000,549657,4.9,Game
Geometry Dash Lite,"$1,124,800.00 ",100000000,6552010,4.8,Game
Fernanfloo,"$1,103,200.00 ",10000000,529481,4.7,Game
Bible,"$1,081,600.00 ",100000000,3426615,4.6,Books & Reference
Clash of Clans,"$1,081,600.00 ",100000000,47022528,4.6,Game
